Signature,Text,Name
C_004_26_1-047,"Magdeburg, Zentraler Platz (heute Ulrichsplatz) mit Springbrunnen und Blick nach Norden zu den Wohnhäusern in der Wilhelm-Pieck-Allee (heute Ernst-Reuter-Allee)",LissyMD
C_004_26_1-057,"Magdeburg, Breiter Weg, Bacchantische Szene von Bernd Göbel Bronze (1978/84), heute steht der Plattenbau dahinter nicht mehr, die Bronze steht leicht versetzt im Breiten Weg.",LissyMD
C_004_26_1-160,"Die schönste Seite der Stadt Neubrandenburg, kaum mehr als die historische Stadtmauer mit ihren einmaligen Wieckhäusern, hier in den 80ern wunderbar restauriert, ist nach dem Krieg nicht geblieben.",rogger.falk (Zooniverse/Talk)
C_004_26_1-177,"""Bernau, Experimentalkomplex """"Innenstadterneuerung mit Plattenbauten"""", Innenhof, Foto ca. späte 1970er Jahre. Hofgestaltung von Formgestalter Jo Doese""",Zooniverse
C_004_26_1-188,"Eberswalde, Alte Forstakademie, ca. 1980",rogger.falk (Zooniverse/Talk)
C_004_26_2_059,"Hainichener Str. 64, 09599 Freiberg, Tempel der Kirche Jesu Christi der Heiligen der Letzten Tage (Mormonen)",LissyMD
C_004_26_2_061,"Freiberg, Obermarkt Denkmal und Brunnen für Otto den Reichen,",LissyMD
C_004_26_2_076,"Leipzig, Naschmarkt, Alte Handeslbörse, links die Rückseite vom Alten Rathaus",LissyMD
C_004_26_2_079,"""Leipzig, Karl-Marx-Platz, heute Augustusplatz, im Vordergrund der Mendebrunnen, mittig das Opernhaus, rechts die Wohnbebauung am Ring. im Hintergrund das Wohnhochhaus Wintergartenstraße mit dem MM für """"Mustermesse"""" obendrauf""",LissyMD
C_004_26_2_081,"Leipzig, Bowlingtreff am Wilhelm-Leuschner-Platz",LissyMD
C_004_26_2_084,"Leipzig, Sachsenplatz, links die Leipzig-Information, dahinter die Wohnbebauung am Brühl, im Hintergrund das Hotel Merkur, rechts das Brühlpelz-Haus",LissyMD
C_004_26_2_112,"Cottbus, Fußgängerzone Spremberger Straße, Blick Richtung Süden, in der Bildmitte hinten der Spremberger Turm, 80er Jahre",rogger.falk (Zooniverse/Talk)
C_004_26_2_114,In rot rechts ein Skoda S100/S110. In Gelb links ein Mercedes W 114/115.,J. Bahmann
C_004_26_3_021,"Chemnitz, Plastik vor dem Stadtbad",rogger.falk (Zooniverse/Talk)
C_004_26_3_026,"Das Rathaus von Chemnitz (damals Karl-Marx-Stadt). Heute ist dieser Blickwinkel verbaut. Das goldene/bräunliche Fahrzeug ist ein Skoda 742, rechts daneben ein Golf 1.",J. Bahmann
C_004_26_3_037,"""Dieses Bild hat leider zu wenig eindeutige Anhaltspunkte.
Das Fahrzeug links ist ein Skoda Oktavia mit (Chemnitzer?) Kennzeichen daneben der Wartburg mit (Berliner?) Kennzeichen. Die Bebauung lässt auf eine dicht besiedelte Zone schließen. ggf. Berlin, Leipzig. Sollte das Bild in höherer Auflösung vorliegen könnte der Straßenname am Gebäude zu lesen sein. Ansonsten ist im Hintergrund eine Eckkneipe zu erkennen sowie ganz rechts ein auffälliger roter Bau.""",J. Bahmann
C_004_26_3_038,"Chemnitz, Brühl-Boulevard",LissyMD
C_004_26_3_039,"""Cottbus, Altstadt, Sandower Straße, Ersatzneubau Gastätte """"Paulaner""""

Cottbus Sandower Straße. Die ehemalige Gaststätte Paulaner Bräu wird gerade im Rahmen des Programms innerstädtisches Bauen neu errichtet. Um 1985

Cottbus, Innenstadt, Altstadt, Sandower Straße, Gertraudtenstraße, Neubau Gaststätte """"Paulaner""""""",Zooniverse
C_004_26_3_054,"Greiswald, St. Marien von Nordwest aus der Friedrich-Loeffler-Str.",LissyMD
C_004_26_3_058,"Greifswald, Ryck, mit Blick zu St. Marien",LissyMD
C_004_26_3_069,"Greiswald, St. Marien von Nordwest aus der Friedrich-Loeffler-Str.",LissyMD
C_004_26_3_073,Zwinger in Dresden,Gritto (Zooniverse/Talk)
C_004_26_3_075,"Dresden, Goldener Reiter, Hauptstr./Neustädter Markt",LissyMD
C_004_26_3_078,"Dresden, Prager Str., Kelchbrunnen",LissyMD
C_004_26_3_079,DDR-Moderne versus historische Altstadt,rogger.falk (Zooniverse/Talk)
C_004_26_3_091,"Rostock-Warnemünde, einlaufender Frachter vor Westmole, 80er Jahre",rogger.falk (Zooniverse/Talk)
C_004_26_3_116,"Schabbelhaus, Schweinsbrücke 6/8, 23966 Wismar, dahinter das Kirchenschiff von St. Nikolai",rogger.falk (Zooniverse/Talk)
C_004_26_4_002,Einbecker Straße / Alfred-Kowalke-Straße in Berlin-Friedrichsfelde,Alex75 (Zooniverse/Talk)
C_004_26_4_041,"""Hier sieht man das """"Rosenfelder Eck"""" in Berlin
Rosenfelder Straße, Ecke Einbecker Straße
Das Gebäude scheint es noch zu geben.""",J. Bahmann
C_004_26_4_052,"Blick auf die frühere Poliklinik in Berlin-Friedrichsfelde - Zachertstraße 75, 10315 Berlin",Alex75 (Zooniverse/Talk)
C_004_26_4_086,"Blick auf den Vorbau/Eingangsbereich des S- und Fernbahnhofs Berlin-Lichtenberg
Das abgebildete Objekt heißt Empfangsgebäude. Das Bild entstand allerdings nach der Wende (siehe Fahrzeuge).","Alex75 (Zooniverse/Talk)
aladst78 (Zooniverse/Talk)"
C_004_27_1_032,"Erfurt/Thüringen, Domplatz 18, Historischer Waidspeicher im Mittelalter (vor Indigo war Waid die Färberpflanze aus Thüringen), Nutzung als Puppentheater und Kabarett vor der Wende und bis heute",Gritto (Zooniverse/Talk)
C_004_27_1_036,"Erfurt, Domplatz, Blick in die Marktstraße (links im Bild), ca. 1985",rogger.falk (Zoonivere/Talk)
C_004_27_1_059,Das Bild zeigt die Gebäude neben der Straßebahnhaltestelle Sorge/Markt in Gera.,J. Bahmann
C_004_27_1_075,"Gera, Markt mit Stadtapotheke und Simsonbrunnen",LissyMD
C_004_27_1_095,"Man blickt hier die Lohgerber Straße entlang in Richtung St.Petri-Kirche in Rostock. Rechts zu sehen ein Barkas B1000 mit Rostocker Kennzeichen.
Rostock, Östliche Altstadt: Blick durch die Lohgerberstraße auf die Petrikirche Richtung Alter Markt, 80er Jahre. Schade, dass der Kandelaber an dem denkmalgeschützten Speicher (links im Bild) die Zeit nicht überdauert hat.","J. Bahmann
rogger.falk (Zooniverse/Talk)"
C_004_27_2_002,"Rostock, Universitätsplatz, im Vordergrund Brunnen der Lebensfreude, im Hintergrund „Fünfgiebelhaus“, ca. 1987",rogger.falk (Zooniverse/Talk)
C_004_27_2_005,"Rostock, Blick aus dem Café des damals gerade neuerbauten „Fünfgiebelhauses“ am Hopfenmarkt (Universitätsplatz) auf den gegenüberliegenden Barocksaal, ca. 1987",rogger.falk (Zooniverse/Talk)
C_004_27_2_019,"Rostock, Neuer Markt, Weihnachtsmarkt mit Fahrgeschäften, ca. 1980",rogger.falk (Zooniverse/Talk)
C_004_27_2_037,"Schwerin, Schelfstadt, St. Nikolai, ca. 1980",rogger.falk (zooniverse/Talk)
C_004_27_2_045,"""Schwerin, Schlachtermarkt, Ochsenbrunnen oder Brunnen für """"Uns Herrn Pastor sin Kau""""""",LissyMD
C_004_27_2_046,"Schwerin, Schlachtermarkt",LissyMD
C_004_27_4_062,"""Ganz klar das schwierigste Bild, denn auch hier fehlt Eindeutigkeit.
Zu sehen sind 5-geschossige WBS70. Vermutlich ein weniger dicht besiedeltes Gebiet. Zu beachten sind die Vordächer der Eingänge, dass die Balkonbrüstungen scheinbar nicht massiv ausgeführt sind und die oberste Balkonplatte auskragt. Bei dem Fahrzeug handelt es sich um einen Fiat 125.""",J. Bahmann
C_004_27_4_073,"""Das könnte im Holländisches Viertel, Potsdam sein.
zB. hier: Charlottenstr., https://goo.gl/maps/miBWHTnntMvi4oSr9""
Ja, das ist in der Charlottenstraße in Potsdam. Das Holländer Viertel ist es aber nicht. Das beginnt zwei Blöcke dahinter
Potsdam, Holländisches Viertel zum Zeitpunkt der Sanierung Mitte der 80er Jahre","J.Kun (Zooniverse/Talk)
J.Kun (Zooniverse/Talk)
rogger.falk (Zooniverse/Talk)"
C_004_27_4_091,Autokennzeichen am Trabi spricht für Bezirk Potsdam Kreis Oranienburg (https://dr-herzfeld.de/kennzeichengeschichte/ddr1990.pdf),Gritto (Zooniverse/Talk)
C_004_27_4_099,Das rote Fahrzeug ist ein Lada 2101.,J. Bahmann
C_004_32_1_014,"Grimmen, Bahnhofstraße, Blick Richtung Mühlentor, im Hintergrund links die St. Marien Kirche, 80er Jahre",rogger.falk (Zooniverse/Talk)
C_004_32_1_069,"Bad Doberan, Münster, ca. 1980",rogger.falk (Zooniverse/Talk)
C_004_32_1_124,"Weimar, Park an der Ilm, Römisches Haus, aufgenommen 80er Jahre",rogger.falk (Zooniverse/Talk)
C_004_32_2_067,"Wasserschloss Kochberg, Großkochberg, Nahe Rudolstadt, Thüringen, Aufnahme ca. 1985",rogger.falk (Zooniverse/Talk)
C_004_32_2_068,"Jena, Rathaus, „Uniturm“, um 1980",rogger.falk (Zooniverse/Talk)
C_004_32_2_083,"Weimar, Herderplatz, Herderdenkmal, im Hintergrund links das „Deutschritterhaus“, Aufnahme 70er Jahre",rogger.falk (Zooniverse/Talk)
C_004_32_2_084,"Weimar, Frauenplan, Blick auf das Goethehaus (ab Bildmitte rechts), ganz links der damals geschlossene Gasthof „Zum weißen Schwaan“, 80er Jahre",rogger.falk (Zooniverse/Talk)
C_004_32_2_101,"Weimar, Stadtschloss, ältester Teil mit sichtbarem Burgcharakter, die Straße davor mit originalem Basaltpflaster",rogger.falk (Zooniverse/Talk)
C_004_32_3_029,"""Karl-Marx-Stadt (heute wieder Chemnitz), Brunnen """"Jugend"""" (Badende Mädchen), Mühlenstraße""",LissyMD
C_004_32_3_044,"Karl-Marx-Stadt (heute wieder Chemnitz), Kongresshotel",LissyMD
C_004_32_3_065,"Freiberg, Fortunabrunnen",LissyMD
C_004_32_3_067,"Freiberg, Obermarkt Denkmal und Brunnen für Otto den Reichen, rechts die Ratsapotheke",LissyMD
C_004_32_3_068,"Freiberg, Obermarkt Denkmal und Brunnen für Otto den Reichen,",LissyMD
C_004_32_3_069,"Freiberg, Obermarkt Denkmal und Brunnen für Otto den Reichen,",LissyMD
C_004_32_3_073,"Leipzig, Naschmarkt, Alte Handelsbörse",LissyMD
C_004_32_3_074,"Leipzig, Sachsenplatz, rechts das Wohnhaus Ritterstraße, dahinter das Brühlpelz-Haus, wohl noch vor der Fertigstellung des Merkur-Hotels in der Gerberstraße",LissyMD
C_004_32_3_076,"Leipzig, Martin-Luther-Ring, Blick auf den Turm des Neuen Rathauses, vorn das Gebäude der damaligen Staatsbank der DDR, heute Deutsche Bank. Der Sprung an der Baulinie markiert die Einmündung Hugo-Licht-Straße. Dahinter beginnt das Neue Rathaus.",LissyMD
C_004_32_3_077,"Leipzig, Blick auf das Neue Rathaus aus der Karl-Tauchnitz-Str. [ziemlich sicher nicht], rechts ein PH16-Wohnhaus",LissyMD
C_004_32_3_085,"Leipzig, Nikolaikirche, Innenaufnahme",LissyMD
C_004_32_3_086,vermutlich Innenaufnahme von der Nikolaikirche in Leipzig,LissyMD
C_004_32_3_087,"Leipzig, Nikolaikirche, Innenaufnahme",LissyMD
C_004_32_3_100,"Dresden, Hauptstr./Neustädterplatz",LissyMD
C_004_32_3_105,"Dresden, Brunnen am Albertplatz",LissyMD
C_004_32_3_109,"Dresden, Prager Str., Schalenbrunnen",LissyMD
C_004_32_3_118,"Dresden, Hauptstr./Neustädter Markt",LissyMD
C_004_32_4_012,"Dr.-Friedrichs-Ring 21A, 08056 Zwickau, Ringkaffee",LissyMD
C_004_32_4_054,ob Dessau? Auf einem der anderen Fotos mit Dessauer Rathausturm im Hintergrund ist eine solche verglaste Ecklösung zu sehen,Lepsius1842
C_004_32_4_062,"Magdeburg, Dom, Hoher Chor und Türme von Osten aus",LissyMD
C_004_32_4_064,"Magdeburg, Himmelreichstr./Breiter Weg",LissyMD
C_004_32_4_066,"Magdeburg, Neu-Olvenstedt, Brunnenstieg, 1980er Jahre",LissyMD
C_004_32_4_069,"Magdeburg, Zentraler Platz (heute Ulrichsplatz), Blick zu den Wohnhäusern Krügerbrücke und Otto-von-Guericke-Straße",LissyMD
C_004_32_4_080,"Quedlinburg, Markt, Muünzenberg-Musikanten (eine Gruppe von 4 bronzenen Musikanten, die 1976 von Prof. Wolfgang Dreysse geschaffen wurde)",LissyMD
C_004_32_4_081,"Quedlinburg, Fachwerkmuseum „Ständerbau“ im Word",LissyMD
C_004_32_4_001,"Zwickau, Hauptmarkt, mit dem Turm das Gewandhaus, rechts daneben das Rathaus",LissyMD
C_004_Diamappe011,Neubau Nikolaiviertel Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe013,Gasse im Nikolaiviertel in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe029,Sophienstr. 16 in Berlin,Alex75 (Zooniverse/Talk)
C_004_Diamappe034,Blick auf die Neubauten bzw. die Schule an der heutigen Torstraße 216 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe036,Planetarium im Ernst-Thälmann-Park an der Prenzlauer Allee in Berlin,Alex75 (Zooniverse/Talk)
C_004_Diamappe049,"""Neubauten am Ernst-Thälmann-Park, Berlin-Prenzlauer Berg; Mitte der achtziger Jahre""",Alex75 (Zooniverse/Talk)
C_004_Diamappe060,Seeterrassen am Fennpfuhl in Berlin-Lichtenberg,Alex75 (Zooniverse/Talk)
C_004_Diamappe066,"""Eingansbereich zur Bibliothek auf der Rückseite des früheren HO-Handelszentrums in Berlin-Hohenschönhausen - Zingster Str./Falkenberger Chaussee; heutiger Standort des """"Lindencenter""""""",Alex75 (Zooniverse/Talk)
C_004_Diamappe067,"""früheres HO-Kaufhaus in Berlin-Hohenschönhausen am Prerower Platz (Zingster Str./Falkenberger Chaussee), heute Standort vom """"Lindencenter""""""",Alex75 (Zooniverse/Talk)
C_004_Diamappe154,Dessau mit Blick auf den Rathausturm,LissyMD
C_004_Diamappe169,"Ob Halle/Saale, Zenkerstraße Ecke Moritzzwinger?",Lepsius1842 (Zooniverse/Talk)
C_004_Diamappe174,"Leipzig, Bowlingtreff am Wilhelm-Leuschner-Platz, Innenaufnahme vom Atrium",LissyMD
C_004_Diamappe175,"Leipzig, Blick aus der Westvorstadt zum Neuen Rathaus",LissyMD
C_004_Diamappe176,"vermutlich Kinder-und Jugendsportschule II Rudolf Friedrich in Leipzig, Brüderstraße, nach 1985",LissyMD
C_004_Diamappe177,vermutlich Kinder-und Jugendsportschule II Rudolf Friedrich in Leipzig,LissyMD
C_004_Diamappe194,"Suhl, Neubebauung im Zentrum im Zusammenhang mit dem Ausbau als Bezirkshauptstadt, aufgenommen ca. 1985
Von diesen Neubauten gibt es noch viele Aufnahmen, auf denen oft auch das Waffenmuseum drauf ist.
… und das benachbarte ehem. Centrum-Warenhaus (hier rechts am Bildrand)","rogger.falk (Zooniverse/Talk)
LissyMD (Zooniverse/Talk)
rogger.falk (Zooniverse/Talk)"
D_221_1_2_D051,"Gera, Puschkinplatz, im Hintergrund das Theater, 70er Jahre",rogger.falk (Zooniverse/Talk)
D2_1-00029,"Leipzig, Thomaskirchhof, rechts Thomaskirche, über der hellen Jacke des Herrn der Sockel des Neuen Bach-Denkmals",LissyMD
D2_1-00031,"Leipzig, Blick von der Thomaswiese über den Markt zum Alten Rathaus, links das Messeamt und rechts das Messehaus am Markt",LissyMD
D2_1-00034,"""Leipzig, Markt; links das Gebäude, in dem sich die Milchbar Pinguin befindet, im Hintergrund in der Mitte der Turm der Nikolaikirche, rechts das Alte Rathaus; in der Zeit, bevor die Altstadt Fußgängerzone wurde""",LissyMD
D2_1-00083,"Das könnte am Kulkwitzer See in Leipzig-Markranstädt sein, so Ende der 1970er Jahre.
Ganz richtig, dass das am Kulkwitzer See ist, aber tatsächlich in Leipzig-Grünau und nicht in Markranstädt, was wiederum eine eigenständige Stadt ist. 😉","LissyMD (Zooniverse/Talk)
LongYuhan (Zooniverse/Talk)"
D2_1-00084,"seitenverkehrte Aufnahme! Leipzig Karl-Marx-Platz, heute Augustusplatz, rechts das Seminargebäude der Uni, in der Mitte der Uniriese, davor der Mendebrunnen, links das Gewandhaus [Bild mittlerweile gespiegelt und Beschreibung angepasst]",LissyMD
D2_1-00093,"Leipzig, Lennéanlage am Ring, links der damalige Uni-Riese, in der Mitte das Gewandhaus, rechts das Europahaus",LissyMD
D2_1-00136,"Suhl, ZOB, ca. 1980",rogger.falk (Zooniverse/Talk)
D2_1-00148,"Halberstadt, Dom",LissyMD
D2_1-00155,Blick von der Friedrichstraße 167 in Richtung S-Bahnhof Friedrichstraße und zum Internationalen Handelszentrum,Alex75 (Zooniverse/Talk)
D2_1-00220,"Schwerin, Puschkinstraße, Höhe Markt, Blick Richtung Nord, 70er Jahre",rogger.falk (Zooniverse/Talk)
D2_1-00259,"Rostock, Wiederaufbau der Ostseite der Wokrenter Straße, aufgenommen vom Hochhaus in der Langen Straße, Anfang der 80er Jahre",rogger.falk (Zooniverse/Talk)
